
random Access
n = 1.000: 
	Tango	Splay 
n= 10000000 tango: 81,1     splay: 4,7
n= 16000000 tango: 83,3     splay: 5,2

n= 10.000.000
k= 2   tango: 81.1   splay: 4.7
k= 4   tango: 108,6 splay: 8,6
k= 8   tango: 69    splay: 14,8
k= 16  tango: 63    splay: 16,5
k= 32  tango: 62,1  splay: 16,8
k= 64  tango: 63,8  splay: 16,7
k= 128 tango: 64,3  splay: 16,7
k= 256 tango: 88    splay: 20,2

working set:
dist = 8
n= 1000      tango: 46,6  splay: 0,9
n= 10000     tango: 45    splay: 1
n= 100000    tango: 49,8  splay: 1
n= 1000000   tango: 48,1  splay: 1
n= 10000000  tango: 53,7  splay: 1,2

n= 10000000 dist= 9  tango: 127,4 splay: 3,2
n= 10000000 dist= 11 tango: 100,3 splay: 3,5
n= 10000000 dist= 13 tango: 56    splay: 1,6
n= 10000000 dist= 15 tango: 60,6  splay: 1,7
n= 10000000 dist= 17 tango: 58    splay: 2
n= 10000000 dist= 19 tango: 60,8  splay: 1,7
n= 10000000 dist= 21 tango: 59,5  splay: 2

kleinGroß:
n= 1000        tango: 13 splay: 0.4
n= 10000       tango: 14.7 splay: 0.5
n= 100000      tango: 27.7 splay: 1.1
n= 1000000     tango: 35.3 splay: 0.9
n= 10000000    tango: 44.2 splay: 1
n= 16000000    tango: 46.3 splay: 1

sorted:
aufsteigend
n= 1000        tango: 0    splay: 0
n= 10000       tango: 0.3  splay: 0
n= 100000      tango: 0.6  splay: 0
n= 1000000     tango: 3    splay: 0.1
n= 10000000    tango: 9    splay: 0.3
n= 16000000    tango: 17   splay: 0.4

absteigend
n= 1000     tango: 0 splay: 0
n= 10000    tango: 0 splay: 0
n= 100000   tango: 0.3 splay: 0
n= 1000000  tango: 5.4 splay: 0.1
n= 10000000 tango: 11.2 splay: 0.3
n= 16000000 tango: 15.3 splay: 0.5

geschachtelt
n= 1000     tango: 0 splay: 0
n= 10000    tango: 0 splay: 0
n= 100000   tango: 0.6 splay: 0
n= 1000000  tango: 9.2 splay: 0.1
n= 10000000 tango: 25.6 splay: 0.7
n= 16000000 tango: 162.4 splay: 1.1
























